priority,plan_code,fund_name,sheet,what_this_sheet_is,why_flagged,source_pdf,model_says_it_used,artifacts_folder,VERDICT,LAYER (transcription/transformation/assumption/image),PDF_PAGE_CHECKED,CORRECT_VALUE_IF_WRONG,NOTES
1-HIGH,hou_ff,Houston (TX) Firefighters,Age_Serv_Num,Active members: headcount by age x years of service,the table's OWN printed totals do not add up from its cells | headcount disagrees with an independent database,TX_HOUSTONCITY-HFRRF_AV_2020_30.pdf,p18 Summary of Active Participants as of Jul,Data Extraction/runs/_batch_round3/hou_ff_Age_Serv_Num_20260729_183229,,,,,
1-HIGH,hou_ff,Houston (TX) Firefighters,Age_Serv_Wage,Active members: average salary by age x years of service,the table's OWN printed totals do not add up from its cells,TX_HOUSTONCITY-HFRRF_AV_2020_30.pdf,p18 Summary of Active Participants as of Jul; p18 Summary of Active Participants as of Jul,Data Extraction/runs/_batch_round3/hou_ff_Age_Serv_Wage_20260729_184013,,,,,
1-HIGH,hou_gen,Houston (TX) Municipal,Age_Serv_Wage,Active members: average salary by age x years of service,the table's OWN printed totals do not add up from its cells,TX_HMERF_AV_2019_204.pdf,p48 Distribution of All Active Members by Ag; p48 Distribution of All Active Members by Ag,Data Extraction/runs/_batch_round3/hou_gen_Age_Serv_Wage_20260729_184748,,,,,
1-HIGH,hou_pol,Houston (TX) Police,Age_Serv_Num,Active members: headcount by age x years of service,the table's OWN printed totals do not add up from its cells,TX_HOUSTONCITY-HPOPS_AV_2019_208.pdf,p47 DISTRIBUTION OF ACTIVE MEMBERS BY AGE AN; p48 DISTRIBUTION OF ACTIVE MEMBERS BY AGE AN; p49 DISTRIBUTION OF ACTIVE MEMBERS BY AGE AN,Data Extraction/runs/_batch_round3/hou_pol_Age_Serv_Num_20260729_191648,,,,,
1-HIGH,lax_uty,Los Angeles (CA) Water and Power,Age_Serv_Num,Active members: headcount by age x years of service,the table's OWN printed totals do not add up from its cells,CA_LACITY-DWP_AV_2019_141.pdf,p45 EXHIBIT B – MEMBERS IN ACTIVE SERVICE AS,Data Extraction/runs/_batch_round3/lax_uty_Age_Serv_Num_20260729_200248,,,,,
1-HIGH,lax_uty,Los Angeles (CA) Water and Power,Age_Serv_Wage,Active members: average salary by age x years of service,the table's OWN printed totals do not add up from its cells,CA_LACITY-DWP_AV_2019_141.pdf,p45 EXHIBIT B – MEMBERS IN ACTIVE SERVICE AS; p45 EXHIBIT B – MEMBERS IN ACTIVE SERVICE AS,Data Extraction/runs/_batch_round3/lax_uty_Age_Serv_Wage_20260729_201100,,,,,
1-HIGH,nyc_ers,New York City (NY) ERS,Age_Serv_Num,Active members: headcount by age x years of service,the table's OWN printed totals do not add up from its cells,NY_NYC-ERS_AV_2020_76.pdf,p99 Detailed Active Membership and Salaries ; p100 Detailed Active Membership and Salaries ; p101 Detailed Active Membership and Salaries ,Data Extraction/runs/_batch_round3/nyc_ers_Age_Serv_Num_20260729_213712,,,,,
1-HIGH,nyc_pol,New York City (NY) Police,Age_Serv_Num,Active members: headcount by age x years of service,the table's OWN printed totals do not add up from its cells,NY_NYC-PPF_AV_2020_150.pdf,p78 Detailed Active Membership and Salaries ,Data Extraction/runs/_batch_round3/nyc_pol_Age_Serv_Num_20260729_222248,,,,,
1-HIGH,phi,Philadelphia (PA) Municipal,Avg_Mort,Mortality (death) probability by age,the table's OWN printed totals do not add up from its cells,PA_PHILADELPHIACITY-MPERS_AV_2019_152.pdf,p106 Rates of Pre-Retirement Mortality (Munic; p106 Rates of Pre-Retirement Mortality (Unifo; p107 Rates of Post-Retirement Mortality (Muni,Data Extraction/runs/_batch_round3/phi_Avg_Mort_20260729_231245,,,,,
1-HIGH,sea,Seattle (WA) ERS,Age_Serv_Num,Active members: headcount by age x years of service,the table's OWN printed totals do not add up from its cells,WA_SEATTLECITY-ERS_AV_2019_156.pdf,p63 Distribution of Employees and Salaries a,Data Extraction/runs/_batch_round3/sea_Age_Serv_Num_20260729_234956,,,,,
2-MED,aus,Austin (TX) ERS,Age_Serv_Num,Active members: headcount by age x years of service,no automated check complained - spot-check a few cells,TX_AUSTINCITY-COAERS_AV_2019_12.pdf,p36 Distribution of All Active Participants ,Data Extraction/runs/_batch_round3/aus_Age_Serv_Num_20260729_132148,,,,,
2-MED,aus,Austin (TX) ERS,Age_Serv_Wage,Active members: average salary by age x years of service,no automated check complained - spot-check a few cells,TX_AUSTINCITY-COAERS_AV_2019_12.pdf,p36 Distribution of All Active Participants ; p36 Distribution of All Active Participants ,Data Extraction/runs/_batch_round3/aus_Age_Serv_Wage_20260729_132217,,,,,
2-MED,aus,Austin (TX) ERS,Avg_Mort,Mortality (death) probability by age,no automated check complained - spot-check a few cells,TX_AUSTINCITY-COAERS_AV_2019_12.pdf,p49 Rates of Decrement Due to Disability; p36 Distribution of All Active Participants ; p31 Schedule of Retirees and Beneficiaries A,Data Extraction/runs/_batch_round3/aus_Avg_Mort_20260729_133456,,,,,
2-MED,aus_pol,Austin (TX) Police,Age_Serv_Num,Active members: headcount by age x years of service,no automated check complained - spot-check a few cells,TX_AUSTINCITY-COAPRS_AV_2019_217.pdf,p47 Table D Active Members – Distribution by,Data Extraction/runs/_batch_round3/aus_pol_Age_Serv_Num_20260729_134401,,,,,
2-MED,aus_pol,Austin (TX) Police,Age_Serv_Wage,Active members: average salary by age x years of service,no automated check complained - spot-check a few cells,TX_AUSTINCITY-COAPRS_AV_2019_217.pdf,p47 Active Members – Distribution by Age and; p47 Active Members – Distribution by Age and,Data Extraction/runs/_batch_round3/aus_pol_Age_Serv_Wage_20260729_134452,,,,,
2-MED,aus_pol,Austin (TX) Police,Sep_Rate,Termination/withdrawal rates by age x service,no automated check complained - spot-check a few cells,TX_AUSTINCITY-COAPRS_AV_2019_217.pdf,p39 Termination Decrements for Reasons Other,Data Extraction/runs/_batch_round3/aus_pol_Sep_Rate_20260729_134737,,,,,
2-MED,bos,Boston (MA) RS,Age_Serv_Num,Active members: headcount by age x years of service,no automated check complained - spot-check a few cells,MA_BOSTONCITY-SBRS_AV_2019_148.pdf,p49 Exhibit A: Participants in Active Servic; p51 Exhibit C: Participants in Active Servic,Data Extraction/runs/_batch_round3/bos_Age_Serv_Num_20260729_140542,,,,,
2-MED,bos,Boston (MA) RS,Age_Serv_Wage,Active members: average salary by age x years of service,no automated check complained - spot-check a few cells,MA_BOSTONCITY-SBRS_AV_2019_148.pdf,p49 Exhibit A: Participants in Active Servic; p49 Exhibit A: Participants in Active Servic,Data Extraction/runs/_batch_round3/bos_Age_Serv_Wage_20260729_140626,,,,,
2-MED,bos,Boston (MA) RS,Avg_Mort,Mortality (death) probability by age,no automated check complained - spot-check a few cells,MA_BOSTONCITY-SBRS_AV_2019_148.pdf,p64 Termination Rates before Retirement: Gro; p65 Group 4 Rate (%) – BRS excluding Teacher; p66 Rate (%) – Teachers,Data Extraction/runs/_batch_round3/bos_Avg_Mort_20260729_141632,,,,,
2-MED,clt_ff,Charlotte (NC) Firefighters' RS,Sep_Rate,Termination/withdrawal rates by age x service,no automated check complained - spot-check a few cells,NC_CHARLOTTE-FRS_AV_2022_182.pdf,p21 Annual Rate of Separation from Active Se,Data Extraction/runs/_batch_round3/clt_ff_Sep_Rate_20260729_160134,,,,,
2-MED,dc_pf,DC Police & Fire,Age_Serv_Wage,Active members: average salary by age x years of service,no automated check complained - spot-check a few cells,DC_DCRB-PFRS-TRS_AV_2019_19_20.pdf,p33 Active Age/Service Distribution Includin; p33 Active Age/Service Distribution Includin; p34 Active Age/Service Distribution Includin,Data Extraction/runs/_batch_round3/dc_pf_Age_Serv_Wage_20260729_164259,,,,,
2-MED,dc_pf,DC Police & Fire,Retirement,Retirees: count and average benefit by age band,no automated check complained - spot-check a few cells,DC_DCRB-PFRS-TRS_AV_2019_19_20.pdf,p39 Schedule of Retiree Member Data – Teache; p42 Schedule of Retiree Member Data – Police; p45 Schedule of Retiree Member Data – Fire –,Data Extraction/runs/_batch_round3/dc_pf_Retirement_20260729_170600,,,,,
2-MED,dc_teach,DC Teachers,Age_Serv_Wage,Active members: average salary by age x years of service,no automated check complained - spot-check a few cells,DC_DCRB-PFRS-TRS_AV_2019_19_20.pdf,p33 Active Age/Service Distribution Includin; p33 Active Age/Service Distribution Includin; p34 Active Age/Service Distribution Includin,Data Extraction/runs/_batch_round3/dc_teach_Age_Serv_Wage_20260729_171708,,,,,
2-MED,dc_teach,DC Teachers,Retirement,Retirees: count and average benefit by age band,no automated check complained - spot-check a few cells,DC_DCRB-PFRS-TRS_AV_2019_19_20.pdf,p39 Schedule of Retiree Member Data – Teache; p42 Schedule of Retiree Member Data – Police; p45 Schedule of Retiree Member Data – Fire –,Data Extraction/runs/_batch_round3/dc_teach_Retirement_20260729_174008,,,,,
2-MED,den,Denver (CO) Employees,Age_Serv_Num,Active members: headcount by age x years of service,no automated check complained - spot-check a few cells,CO_DENVERCITYCOUNTY-DERP_AV_2019_22.pdf,p57 Age and Service Distribution for Active ,Data Extraction/runs/_batch_round3/den_Age_Serv_Num_20260729_174814,,,,,
2-MED,den_schools,Denver (CO) Schools,Avg_Mort,Mortality (death) probability by age,no automated check complained - spot-check a few cells,CO_CO-PERA-LGD-SCDTF-SDTF_AV_2019_13_14_15_23.pdf,p145 Single Life Retirement Values and Rates ; p145 Single Life Retirement Values and Rates ; p146 Single Life Retirement Values and Rates ,Data Extraction/runs/_batch_round3/den_schools_Avg_Mort_20260729_182840,,,,,
2-MED,lax_ffpol,Los Angeles (CA) Fire and Police,Avg_Mort,Mortality (death) probability by age,no automated check complained - spot-check a few cells,CA_LACITY-LAFPP_AV_2019_140.pdf,p92 Pre-Retirement Mortality Rates; p91 Post-Retirement Mortality Rates - Health; p91 Post-Retirement Mortality Rates - Disabl,Data Extraction/runs/_batch_round3/lax_ffpol_Avg_Mort_20260729_192959,,,,,
2-MED,lax_gen,Los Angeles (CA) ERS,Avg_Mort,Mortality (death) probability by age,no automated check complained - spot-check a few cells,CA_LACITY-LACERS_AV_2019_139.pdf,p69 Pre-Retirement Mortality Rates; p68 Post-Retirement Mortality Rates - Health; p68 Post-Retirement Mortality Rates - Disabl,Data Extraction/runs/_batch_round3/lax_gen_Avg_Mort_20260729_200106,,,,,
2-MED,lax_uty,Los Angeles (CA) Water and Power,Avg_Mort,Mortality (death) probability by age,no automated check complained - spot-check a few cells,CA_LACITY-DWP_AV_2019_141.pdf,p62 Pre-Retirement Mortality Rates; p61 Post-Retirement Mortality Rates; p45 Distribution of Active Participants as o,Data Extraction/runs/_batch_round3/lax_uty_Avg_Mort_20260729_201548,,,,,
2-MED,nyc_edu,New York City (NY) Educational,Age_Serv_Num,Active members: headcount by age x years of service,no automated check complained - spot-check a few cells,NY_NYC-BERS_AV_2018_211.pdf,p70 Detailed Active Membership and Salaries ,Data Extraction/runs/_batch_round3/nyc_edu_Age_Serv_Num_20260729_205502,,,,,
2-MED,nyc_edu,New York City (NY) Educational,Age_Serv_Wage,Active members: average salary by age x years of service,no automated check complained - spot-check a few cells,NY_NYC-BERS_AV_2018_211.pdf,p70 Detailed Active Membership and Salaries ; p70 Detailed Active Membership and Salaries ,Data Extraction/runs/_batch_round3/nyc_edu_Age_Serv_Wage_20260729_205618,,,,,
2-MED,nyc_edu,New York City (NY) Educational,Retirement,Retirees: count and average benefit by age band,no automated check complained - spot-check a few cells,NY_NYC-BERS_AV_2018_211.pdf,p76 Distribution of Pension Benefits by Caus,Data Extraction/runs/_batch_round3/nyc_edu_Retirement_20260729_213644,,,,,
2-MED,nyc_edu,New York City (NY) Educational,Sep_Rate,Termination/withdrawal rates by age x service,no automated check complained - spot-check a few cells,NY_NYC-BERS_AV_2018_211.pdf,p54 Table XI-2 Active Termination Rates,Data Extraction/runs/_batch_round3/nyc_edu_Sep_Rate_20260729_212713,,,,,
2-MED,nyc_pol,New York City (NY) Police,Age_Serv_Wage,Active members: average salary by age x years of service,no automated check complained - spot-check a few cells,NY_NYC-PPF_AV_2020_150.pdf,p74 Detailed Active Membership and Salaries ; p74 Detailed Active Membership and Salaries ,Data Extraction/runs/_batch_round3/nyc_pol_Age_Serv_Wage_20260729_222517,,,,,
2-MED,nyc_pol,New York City (NY) Police,Retirement,Retirees: count and average benefit by age band,no automated check complained - spot-check a few cells,NY_NYC-PPF_AV_2020_150.pdf,p84 Distribution of Pension Benefits by Caus,Data Extraction/runs/_batch_round3/nyc_pol_Retirement_20260729_230954,,,,,
3-LOW,chi_edu,Chicago (IL) Teachers,Age_Serv_Num,Active members: headcount by age x years of service,no automated check complained - spot-check a few cells,IL_CHICAGOCITY-CTPF_AV_2019_11.pdf,p55 Table 13 — Total Lives and Annual Salari,Data Extraction/runs/_batch_round3/chi_edu_Age_Serv_Num_20260729_141740,,,,,
3-LOW,chi_edu,Chicago (IL) Teachers,Ret_Rate,Retirement rates by age x service,no automated check complained - spot-check a few cells,IL_CHICAGOCITY-CTPF_AV_2019_11.pdf,p66 Retirement Rates for Tier 1 Employees an,Data Extraction/runs/_batch_round3/chi_edu_Ret_Rate_20260729_141836,,,,,
3-LOW,chi_edu,Chicago (IL) Teachers,Sep_Rate,Termination/withdrawal rates by age x service,no automated check complained - spot-check a few cells,IL_CHICAGOCITY-CTPF_AV_2019_11.pdf,p64 Termination Rates by Service,Data Extraction/runs/_batch_round3/chi_edu_Sep_Rate_20260729_141915,,,,,
3-LOW,chi_ff,Chicago (IL) Fire,Age_Serv_Num,Active members: headcount by age x years of service,no automated check complained - spot-check a few cells,IL_CHICAGOCITY-FABF_AV_2019_206.pdf,p32 Exhibit B.1 – All Members in Active Serv,Data Extraction/runs/_batch_round3/chi_ff_Age_Serv_Num_20260729_142254,,,,,
3-LOW,chi_ff,Chicago (IL) Fire,Retirement,Retirees: count and average benefit by age band,no automated check complained - spot-check a few cells,IL_CHICAGOCITY-FABF_AV_2019_206.pdf,p37 Exhibit D.1 – Service Retirement Annuita,Data Extraction/runs/_batch_round3/chi_ff_Retirement_20260729_145740,,,,,
3-LOW,chi_ff,Chicago (IL) Fire,Sep_Rate,Termination/withdrawal rates by age x service,no automated check complained - spot-check a few cells,IL_CHICAGOCITY-FABF_AV_2019_206.pdf,p69 Termination Rates,Data Extraction/runs/_batch_round3/chi_ff_Sep_Rate_20260729_144450,,,,,
3-LOW,chi_gen,Chicago (IL) Municipal,Age_Serv_Num,Active members: headcount by age x years of service,no automated check complained - spot-check a few cells,IL_CHICAGOCITY-MEABF_AV_2019_145.pdf,p32 Exhibit B.1 All Members in Active Servic,Data Extraction/runs/_batch_round3/chi_gen_Age_Serv_Num_20260729_145812,,,,,
3-LOW,chi_gen,Chicago (IL) Municipal,Retirement,Retirees: count and average benefit by age band,no automated check complained - spot-check a few cells,IL_CHICAGOCITY-MEABF_AV_2019_145.pdf,"p38 Employee Annuitants as of December 31, 2",Data Extraction/runs/_batch_round3/chi_gen_Retirement_20260729_152131,,,,,
3-LOW,chi_gen,Chicago (IL) Municipal,Sep_Rate,Termination/withdrawal rates by age x service,no automated check complained - spot-check a few cells,IL_CHICAGOCITY-MEABF_AV_2019_145.pdf,p71 Termination Rates,Data Extraction/runs/_batch_round3/chi_gen_Sep_Rate_20260729_151333,,,,,
3-LOW,chi_pol,Chicago (IL) Police,Retirement,Retirees: count and average benefit by age band,no automated check complained - spot-check a few cells,IL_CHICAGOCITY-PABF_AV_2019_146.pdf,p38 Exhibit E - Showing Statistics on Servic,Data Extraction/runs/_batch_round3/chi_pol_Retirement_20260729_155245,,,,,
3-LOW,chi_pol,Chicago (IL) Police,Sep_Rate,Termination/withdrawal rates by age x service,no automated check complained - spot-check a few cells,IL_CHICAGOCITY-PABF_AV_2019_146.pdf,p72 Rate of Termination,Data Extraction/runs/_batch_round3/chi_pol_Sep_Rate_20260729_155012,,,,,
3-LOW,dal,Dallas (TX) ERS,Age_Serv_Num,Active members: headcount by age x years of service,no automated check complained - spot-check a few cells,Tx_Dallas_ERF_AV_2019_201.pdf,p37 Distribution of Active Members and Payro,Data Extraction/runs/_batch_round3/dal_Age_Serv_Num_20260729_160327,,,,,
3-LOW,dal,Dallas (TX) ERS,Age_Serv_Wage,Active members: average salary by age x years of service,no automated check complained - spot-check a few cells,Tx_Dallas_ERF_AV_2019_201.pdf,p37 Distribution of Active Members and Payro; p37 Distribution of Active Members and Payro,Data Extraction/runs/_batch_round3/dal_Age_Serv_Wage_20260729_160345,,,,,
3-LOW,dal,Dallas (TX) ERS,Retirement,Retirees: count and average benefit by age band,no automated check complained - spot-check a few cells,Tx_Dallas_ERF_AV_2019_201.pdf,p38 Distribution of Benefit Recipients,Data Extraction/runs/_batch_round3/dal_Retirement_20260729_160651,,,,,
3-LOW,dal,Dallas (TX) ERS,Sep_Rate,Termination/withdrawal rates by age x service,no automated check complained - spot-check a few cells,Tx_Dallas_ERF_AV_2019_201.pdf,"p54 General Turnover (Terminations per 1,000",Data Extraction/runs/_batch_round3/dal_Sep_Rate_20260729_160455,,,,,
3-LOW,dal_pf,Dallas (TX) Police and Fire,Sep_Rate,Termination/withdrawal rates by age x service,no automated check complained - spot-check a few cells,TX_DALLASCITY-DPFP_AV_2019_153.pdf,p53 Withdrawal Rates Before Retirement,Data Extraction/runs/_batch_round3/dal_pf_Sep_Rate_20260729_162714,,,,,
3-LOW,den,Denver (CO) Employees,Avg_Mort,Mortality (death) probability by age,no automated check complained - spot-check a few cells,CO_DENVERCITYCOUNTY-DERP_AV_2019_22.pdf,p62 Rates of Mortality - Active Mortality Sa; p53 Age and Service Distribution for Active ,Data Extraction/runs/_batch_round3/den_Avg_Mort_20260729_175218,,,,,
3-LOW,den,Denver (CO) Employees,Sep_Rate,Termination/withdrawal rates by age x service,no automated check complained - spot-check a few cells,CO_DENVERCITYCOUNTY-DERP_AV_2019_22.pdf,p58 Rates of Termination,Data Extraction/runs/_batch_round3/den_Sep_Rate_20260729_175157,,,,,
3-LOW,hou_gen,Houston (TX) Municipal,Age_Serv_Num,Active members: headcount by age x years of service,no automated check complained - spot-check a few cells,TX_HMERF_AV_2019_204.pdf,p48 Distribution of All Active Members by Ag,Data Extraction/runs/_batch_round3/hou_gen_Age_Serv_Num_20260729_184727,,,,,
3-LOW,hou_pol,Houston (TX) Police,Avg_Mort,Mortality (death) probability by age,no automated check complained - spot-check a few cells,TX_HOUSTONCITY-HPOPS_AV_2019_208.pdf,p55 Sample rates are shown below for 2019; p46 Distribution of Active Members by Age an; p46 Membership Data - Service Retirees,Data Extraction/runs/_batch_round3/hou_pol_Avg_Mort_20260729_192328,,,,,
3-LOW,hou_pol,Houston (TX) Police,Ret_Rate,Retirement rates by age x service,no automated check complained - spot-check a few cells,TX_HOUSTONCITY-HPOPS_AV_2019_208.pdf,p54 Retirement Rates,Data Extraction/runs/_batch_round3/hou_pol_Ret_Rate_20260729_192206,,,,,
3-LOW,hou_pol,Houston (TX) Police,Sep_Rate,Termination/withdrawal rates by age x service,no automated check complained - spot-check a few cells,TX_HOUSTONCITY-HPOPS_AV_2019_208.pdf,p56 Service Based Rates of Termination,Data Extraction/runs/_batch_round3/hou_pol_Sep_Rate_20260729_192254,,,,,
3-LOW,lax_ffpol,Los Angeles (CA) Fire and Police,Age_Serv_Num,Active members: headcount by age x years of service,no automated check complained - spot-check a few cells,CA_LACITY-LAFPP_AV_2019_140.pdf,p60 EXHIBIT B – MEMBERS IN ACTIVE SERVICE AS,Data Extraction/runs/_batch_round3/lax_ffpol_Age_Serv_Num_20260729_192439,,,,,
3-LOW,lax_ffpol,Los Angeles (CA) Fire and Police,Age_Serv_Wage,Active members: average salary by age x years of service,no automated check complained - spot-check a few cells,CA_LACITY-LAFPP_AV_2019_140.pdf,p60 EXHIBIT B – MEMBERS IN ACTIVE SERVICE AS; p60 EXHIBIT B – MEMBERS IN ACTIVE SERVICE AS,Data Extraction/runs/_batch_round3/lax_ffpol_Age_Serv_Wage_20260729_192521,,,,,
3-LOW,lax_gen,Los Angeles (CA) ERS,Age_Serv_Num,Active members: headcount by age x years of service,no automated check complained - spot-check a few cells,CA_LACITY-LACERS_AV_2019_139.pdf,p53 EXHIBIT B – MEMBERS IN ACTIVE SERVICE AS,Data Extraction/runs/_batch_round3/lax_gen_Age_Serv_Num_20260729_193143,,,,,
3-LOW,lax_gen,Los Angeles (CA) ERS,Age_Serv_Wage,Active members: average salary by age x years of service,no automated check complained - spot-check a few cells,CA_LACITY-LACERS_AV_2019_139.pdf,p53 EXHIBIT B – MEMBERS IN ACTIVE SERVICE AS; p53 EXHIBIT B – MEMBERS IN ACTIVE SERVICE AS,Data Extraction/runs/_batch_round3/lax_gen_Age_Serv_Wage_20260729_193222,,,,,
3-LOW,lax_uty,Los Angeles (CA) Water and Power,Ret_Rate,Retirement rates by age x service,no automated check complained - spot-check a few cells,CA_LACITY-DWP_AV_2019_141.pdf,p64 Retirement Rates (%),Data Extraction/runs/_batch_round3/lax_uty_Ret_Rate_20260729_201434,,,,,
3-LOW,lax_uty,Los Angeles (CA) Water and Power,Sep_Rate,Termination/withdrawal rates by age x service,no automated check complained - spot-check a few cells,CA_LACITY-DWP_AV_2019_141.pdf,p63 Termination Rates: Total Termination Rat,Data Extraction/runs/_batch_round3/lax_uty_Sep_Rate_20260729_201527,,,,,
3-LOW,mil,Milwaukee (WI) City ERS,Age_Serv_Num,Active members: headcount by age x years of service,no automated check complained - spot-check a few cells,WI_MILWAUKEECITY-ERS_AV_2019_151.pdf,p72 DISTRIBUTION OF ACTIVE MEMBERS - General; p75 DISTRIBUTION OF ACTIVE MEMBERS - Policem; p76 DISTRIBUTION OF ACTIVE MEMBERS - Firemen,Data Extraction/runs/_batch_round3/mil_Age_Serv_Num_20260729_201652,,,,,
3-LOW,mil,Milwaukee (WI) City ERS,Retirement,Retirees: count and average benefit by age band,no automated check complained - spot-check a few cells,WI_MILWAUKEECITY-ERS_AV_2019_151.pdf,p80 SUMMARY OF RETIRED MEMBERS - General Emp; p81 SUMMARY OF RETIRED MEMBERS - Policemen; p82 SUMMARY OF RETIRED MEMBERS - Firemen,Data Extraction/runs/_batch_round3/mil_Retirement_20260729_203437,,,,,
3-LOW,mil,Milwaukee (WI) City ERS,Sep_Rate,Termination/withdrawal rates by age x service,no automated check complained - spot-check a few cells,WI_MILWAUKEECITY-ERS_AV_2019_151.pdf,p113 Illustrative Rates of Termination,Data Extraction/runs/_batch_round3/mil_Sep_Rate_20260729_202146,,,,,
3-LOW,nsh,Nashville-Davidson (TN) ERS,Age_Serv_Num,Active members: headcount by age x years of service,no automated check complained - spot-check a few cells,TN_NASHVILLECITY-MPP_AV_2019_158.pdf,p55 TABLE III-1 DISTRIBUTION OF SERVICE GROU; p56 TABLE III-2 DISTRIBUTION OF SERVICE GROU; p58 TABLE III-4 DISTRIBUTION OF SERVICE GROU,Data Extraction/runs/_batch_round3/nsh_Age_Serv_Num_20260729_203655,,,,,
3-LOW,nsh,Nashville-Davidson (TN) ERS,Avg_Mort,Mortality (death) probability by age,no automated check complained - spot-check a few cells,TN_NASHVILLECITY-MPP_AV_2019_158.pdf,p121 TABLE XIII - SUMMARY OF ACTUARIAL ASSUMP; p43 TABLE I-9 - DISTRIBUTION OF ACTIVE PARTI; p84 TABLE V-12 - DISTRIBUTION OF BASE BENEFI,Data Extraction/runs/_batch_round3/nsh_Avg_Mort_20260729_204519,,,,,
3-LOW,nyc_ers,New York City (NY) ERS,Age_Serv_Wage,Active members: average salary by age x years of service,no automated check complained - spot-check a few cells,NY_NYC-ERS_AV_2020_76.pdf,p108 Detailed Active Membership and Salaries ; p108 Detailed Active Membership and Salaries ,Data Extraction/runs/_batch_round3/nyc_ers_Age_Serv_Wage_20260729_215252,,,,,
